#1
double Wc_NcPR(16,21)   # Wc=f(Nc, PR)
0	1.02986847	1.08928872	1.14870897	1.20812922	1.26754947	1.32696973	1.38638998	1.44581023	1.50523048	1.56465073	1.62407099	1.68349124	1.74291149	1.80233174	1.86175199	1.92117225	1.9805925	2.04001275	2.099433	2.15885325
0.200000003	3.9753006	4.95466219	5.87204838	6.61807421	7.0970823	7.38615943	7.49851592	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716	7.50210716
0.25	3.97324093	4.95096455	5.88958973	6.63654806	7.08775012	7.38202054	7.4934587	7.54949805	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766	7.5640766
0.300000012	3.97157866	4.94726714	5.90495636	6.66046887	7.07957152	7.37177869	7.47730059	7.53990002	7.56949269	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464	7.57807464
0.349999994	3.97031307	4.94356938	5.92336836	6.67746043	7.07011249	7.36942376	7.46770239	7.53519743	7.56455995	7.58123211	7.58822809	7.58822809	7.58822809	7.58822809	7.58822809	7.58822809	7.58822809	7.58822809	7.58822809	7.58822809
0.400000006	3.96944453	4.93987231	5.9198173	6.68409569	7.06277489	7.36348904	7.45489209	7.52628246	7.55778814	7.57782335	7.58580419	7.58746134	7.58746134	7.58746134	7.58746134	7.58746134	7.58746134	7.58746134	7.58746134	7.58746134
0.449999988	3.96897304	4.93617529	5.9128891	6.67916908	7.04587579	7.33444578	7.44208249	7.5154187	7.55101617	7.5727952	7.58299726	7.58656288	7.58830002	7.58830002	7.58830002	7.58830002	7.58830002	7.58830002	7.58830002	7.58830002
0.5	3.96889931	4.9324775	5.91271443	6.66589278	7.03460446	7.31582594	7.42927235	7.50635506	7.5442438	7.56890669	7.5801904	7.58499804	7.58696577	7.58619539	7.58619539	7.58619539	7.58619539	7.58619539	7.58619539	7.58619539
0.600000024	3.9848441	4.90912181	5.85797186	6.61612131	6.98408851	7.27439088	7.39383047	7.48360454	7.52797004	7.55863769	7.57375977	7.58158662	7.58594443	7.58691832	7.58774561	7.58802598	7.58802598	7.58802598	7.58802598	7.58802598
0.699999988	4.00188725	4.88557811	5.80266633	6.51186472	6.90935013	7.23796969	7.35329943	7.44336899	7.49941795	7.53975543	7.56171228	7.57477799	7.58322323	7.58570732	7.58737759	7.58752319	7.58752319	7.58752319	7.58752319	7.58752319
0.800000012	4.03417603	4.84573608	5.69767788	6.41849314	6.82450538	7.15027492	7.31215219	7.4190419	7.47601081	7.52269476	7.5500966	7.56577634	7.57568068	7.57816465	7.57971855	7.57998075	7.57998075	7.57998075	7.57998075	7.57998075
0.899999976	4.04392812	4.83217103	5.61091014	6.30700926	6.72973364	7.06076474	7.25727531	7.36655223	7.4363325	7.48227482	7.51563083	7.54151547	7.55579665	7.5639474	7.56955444	7.57252359	7.57392114	7.57425275	7.57439909	7.57439909
1	4.10122148	4.77831724	5.51244692	6.19498425	6.62057394	6.99420397	7.15244782	7.30114552	7.38213586	7.44223485	7.4854678	7.51383776	7.5366216	7.55091449	7.56161855	7.56556477	7.56799517	7.56866709	7.56866709	7.56866709
1.10000002	4.14551157	4.75540362	5.48848672	6.10150712	6.55912941	6.89618492	7.08454234	7.24437562	7.32686743	7.39978149	7.44582179	7.47838801	7.50323889	7.51859283	7.53158668	7.53743727	7.54288308	7.5444231	7.54583873	7.5470705
1.20000005	4.15902625	4.77158593	5.46241353	6.04598049	6.45260413	6.80654421	6.99151435	7.16140949	7.25605766	7.34156099	7.39459844	7.43411608	7.46280584	7.48151811	7.49694552	7.5055402	7.51453918	7.51642094	7.52012393	7.52286938
1.29999995	4.17432548	4.78776842	5.49716455	6.00310113	6.37710583	6.67909877	6.8803241	7.02385556	7.16493588	7.27175954	7.34326375	7.38947343	7.42177785	7.44419396	7.46154489	7.47353025	7.48272583	7.48948061	7.49243709	7.49461938

double eff_NcPR(16,21)   # eff=f(Nc, PR)
0	1.02986847	1.08928872	1.14870897	1.20812922	1.26754947	1.32696973	1.38638998	1.44581023	1.50523048	1.56465073	1.62407099	1.68349124	1.74291149	1.80233174	1.86175199	1.92117225	1.9805925	2.04001275	2.099433	2.15885325
0.200000003	0.290929446	0.397230862	0.446030763	0.472440709	0.481540981	0.481386866	0.479174426	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253	0.478894253
0.25	0.335060514	0.466369088	0.527371221	0.555234476	0.565444932	0.564310741	0.557144304	0.549209505	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055	0.546474055
0.300000012	0.380806823	0.524298854	0.596231066	0.626325841	0.634917727	0.631471813	0.622112579	0.611768006	0.603585286	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326	0.599749326
0.349999994	0.426153308	0.571443727	0.650626567	0.684078569	0.690169122	0.682674822	0.670391039	0.65759998	0.645350645	0.633565934	0.626716084	0.626716084	0.626716084	0.626716084	0.626716084	0.626716084	0.626716084	0.626716084	0.626716084	0.626716084
0.400000006	0.415292789	0.600578006	0.692310831	0.725970105	0.729403083	0.718732885	0.7044634	0.690190725	0.676996609	0.663866431	0.648682947	0.635829371	0.635829371	0.635829371	0.635829371	0.635829371	0.635829371	0.635829371	0.635829371	0.635829371
0.449999988	0.435203308	0.618994304	0.719050966	0.74556109	0.749199955	0.739633284	0.725034948	0.710890535	0.697958091	0.68468817	0.669225338	0.65128966	0.638884511	0.638884511	0.638884511	0.638884511	0.638884511	0.638884511	0.638884511	0.638884511
0.5	0.459869257	0.636703148	0.74515388	0.780180885	0.786393448	0.773822502	0.75799554	0.743706712	0.73036993	0.7153317	0.697843794	0.678520121	0.660306173	0.649298489	0.649298489	0.649298489	0.649298489	0.649298489	0.649298489	0.649298489
0.600000024	0.472012671	0.664524646	0.770382594	0.81737948	0.826297644	0.81893498	0.804674622	0.788174287	0.771718553	0.755618796	0.739677062	0.723788394	0.708287799	0.694128741	0.682123136	0.678430329	0.678430329	0.678430329	0.678430329	0.678430329
0.699999988	0.44779506	0.648993939	0.767288459	0.826834272	0.850404757	0.853380785	0.844802744	0.831872133	0.817018716	0.801319956	0.785248743	0.769235376	0.753846101	0.7396689	0.727009169	0.715231914	0.705405416	0.705405416	0.705405416	0.705405416
0.800000012	0.440993307	0.651579283	0.775554327	0.837516589	0.86253835	0.867398751	0.862592695	0.854073305	0.844726595	0.835599663	0.826777221	0.818149625	0.809833525	0.802205343	0.795680161	0.790223251	0.784594851	0.776003511	0.776003511	0.776003511
0.899999976	0.373895067	0.580977539	0.720545746	0.803781477	0.849511051	0.87150109	0.879425516	0.879733971	0.876421931	0.871701074	0.86657192	0.861296653	0.85577357	0.849812907	0.843313408	0.836340373	0.829104007	0.821844918	0.815796657	0.815796657
1	0.397096418	0.566347788	0.694495964	0.777516081	0.829037711	0.859541331	0.876336606	0.884643748	0.887999261	0.888625618	0.887762751	0.885963036	0.883349536	0.879836941	0.875315263	0.869796617	0.863525764	0.857052676	0.851267252	0.84877553
1.10000002	0.325076534	0.496193068	0.631992006	0.724128357	0.78560475	0.826104722	0.852612684	0.8699733	0.88138767	0.888815364	0.893456564	0.895931294	0.896588643	0.895691334	0.893536106	0.890511887	0.887101326	0.883806599	0.881031142	0.879124498
1.20000005	0.253644252	0.399746738	0.530560879	0.630329876	0.705832811	0.762514295	0.804698392	0.835770004	0.858344344	0.874416232	0.885492492	0.892706078	0.89691105	0.898761114	0.898769853	0.897347385	0.894833673	0.891494459	0.887513315	0.882959609
1.29999995	0.162607215	0.280249034	0.403490874	0.510885054	0.601660225	0.676358053	0.736210248	0.782853339	0.818165455	0.844102076	0.862522411	0.875130808	0.883410474	0.888453247	0.891011506	0.891512117	0.890115605	0.886791158	0.881447577	0.875240617
